,Unnamed: 0,Unnamed: 0.1,user_ids,company_name,all_text,assist,balance_sc,benefit_sc,ca,contract,culture_sc,data,engineer,former_current,front,lead,management_sc,month_1,month_10,month_11,month_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,ny,other_states,overall_sc,research,security_sc,speacialist,support,test,wa,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,permanent,text_neg_score,text_neu_score,text_pos_score,num_neg_score,num_neu_score,num_pos_score,final_cul_sc
0,0,0,cmp-review-5b0a3e2d12b311c6,Google,"Management is not professional.
Workplace culture is good if you get on the inside but not if you're a contract/temp role.
The most enjoyable part of my job is my coworkers – they have become my friends.Good company culture if on the inside",0,3,3,0.0,1,2,0,0,0.0,0,1,1,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1,2,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.0,0.862,0.138,0.5,0.5,0.0,-0.181
1,12,1,cmp-review-4e0fe360366dbbe0,Google,"- exceptional management
- career growth is not as easy as it seems... hugely competitive internal pool of candidates for emerging mid-career level jobs
- great early career sales training & responsibility off the batDigital Marketing Consultant",0,2,5,1.0,1,4,0,0,1.0,0,1,5,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,5,0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.06,0.723,0.217,0.0,0.5,0.5,0.3285
2,20,2,cmp-review-484449027726a1be,Google,Awesome stuff at google if I had to rate it from 1 to 10 it would def be a 10 because of the great company culture! I would love to work full time there right now!Awesome,0,3,3,0.0,0,3,0,0,1.0,0,0,4,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1,5,0,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.0,0.691,0.309,0.0,1.0,0.0,0.1545
3,28,3,cmp-review-1eb301ee5c8e2f92,Google,"I appreciated my time at Google Fiber, however I did not apreciate the lack of Benefits that come with the job.

Healthcare is very sparse, and does not include dental or vision benefits.

The company does not offer any 401k matching and PTO is only accumulated after you have been with the company for a year or more.

The company culture is very robust and strong. Amenities are offered for employees and employee support is taken very seriously.Great Culture, Few Benifits",0,5,3,0.0,0,4,0,0,0.0,0,1,4,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1,4,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.0,0.766,0.234,0.0,0.5,0.5,0.367
4,36,4,cmp-review-b1e4620c2e030452,Google,Great place in general to spend 40 hours a week. Free Gym and food. The layout is beautiful and the people are friendly. I learned a lot and enjoyed building lasting relationships with the people I worked closely with. The workplace culture is one of positivity. Its going to be hard leaving this contracted position because I do enjoy working here but the current wages aren't competitive enough. The best part of the job was management and the coworkers.Great place to work if you aren't stressed for money as a tvc.,0,5,3,1.0,1,5,0,0,0.0,0,0,4,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,5,0,3,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.029,0.733,0.238,0.0,0.0,1.0,0.6045
5,44,5,cmp-review-66ef0bc6ecacf29c,Google,"Many great perks, workplace culture was fun but the contract was short and temporary.
There are only Engineers for coding and not much QA was required in the role.Good place for swags, free lunches and perks",0,3,2,0.0,1,3,0,1,1.0,0,0,3,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,3,0,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.0,0.783,0.217,0.0,1.0,0.0,0.1085
6,48,6,cmp-review-e2ce83de60be70e8,Google,"I enjoyed working at Google. Very fast paced and busy environment. My days would go by so quickly. There is always plenty to do. Everyone is so nice and will to help in any aspect. I learned alot about the Google culture and its expectations for the staff there. Work attire is very casual. It's more of what you can do not what you can wear.A typical day included meetings, lots of meetings. trouble shooting situations for my staff and a little time at the end for a fun activity with my team. The hardest part was keeping up with an intense calendar schedule. You are pulled in many different directions. High expectations for everyone.Fun and Goal Oriented",1,3,3,0.0,0,4,0,0,1.0,0,1,2,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,4,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.021,0.849,0.129,0.0,0.5,0.5,0.304
7,52,7,cmp-review-2ca7ad3577938398,Google,Working at google has been a quite a journey. The management really cares about their workers and provide a lot of benefits. Daily task is tough to understand at the beginning.Good,0,5,5,1.0,0,5,0,0,0.0,1,0,5,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,5,0,5,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.046,0.772,0.182,0.0,0.0,1.0,0.568
8,56,8,cmp-review-c917be652856b78e,Google,The work environment at Google is one of great partnership and everyone is willing to help you. If you have any questions you just have to ask and everyone helps you. I love work here and wish continue working with this excellent group of professional.Excellent working environment,0,5,5,0.0,0,5,0,0,0.0,0,1,5,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1,5,0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.0,0.659,0.341,0.0,0.0,1.0,0.6705
9,60,9,cmp-review-36023fcd59a4d387,Google,"I was a Google Summer of Code participant in the summers (2017).
Pros
* Friendly people
* Lots of smart people.
* Good stipend
Cons
* Very large company.Nice work environment",0,4,5,0.0,0,4,0,1,1.0,0,0,4,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1,5,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.0,0.714,0.286,0.0,0.5,0.5,0.393
10,64,10,cmp-review-2e73cfb6c84cef41,Google,I think working at Google was amazing. Everyone helped each other while maintaining a friendly relationship. Teams were encouraged to interact with each other so that we can build other skills outside of our main job description. Meetings were very frequent which also built strong relationships between team members. One thing I really loved was that everyone is treated as an equal.Fun Competitive work place,0,5,5,0.0,0,5,0,0,1.0,0,0,5,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,5,0,5,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.0,0.75,0.25,0.0,0.0,1.0,0.625
